unnamed: 0,db,query,url,snippet,model_score,rule_score,positive_hits,negative_hits,good_domain,bad_domain,rule_score_01,final_score,label
0,Oracle,Большие данные Oracle,https://www.oracle.com/big-data/,"Big Data platform. Seamlessly scale and run Apache Spark, Hive, Trino, Flink, and more. Discover the power of easy development and visualization through Data Science notebooks, leveraging familiar open source tools, all at an exceptional price-to-performance ratio.",0.0007046866812743247,0.44,2,0,True,False,0.72,0.21649328067689202,spam
1,Oracle,Большие данные Oracle,https://docs.oracle.com/en/bigdata/,"Oracle Big Data Appliance. An engineered system that provides a high-performance, secure platform for running diverse workloads on Hadoop and NoSQL systems, while integrating tightly with Oracle Database and Oracle Exadata Machine.",0.00278254016302526,1.0,6,0,True,False,1.0,0.30194777811411766,spam
2,Oracle,Большие данные Oracle,https://habr.com/ru/articles/1033554/,"Понятно, что они есть, но вот какие и от чего они зависят? Но каждый раз были вопросы и задачи поважнее. И вот недавно произошло то, что рано или поздно должно было произойти — одновременно у двух заказчиков возник вопрос, который, упрощая, выглядит так: «Почему мы загрузили такой‑то объем данных, а место на диске занято больше?». У одного из заказчиков был Oracle, у второго — Postgres.",0.9802472591400146,0.0,0,0,False,False,0.5,0.8361730813980103,useful
3,Oracle,Большие данные Oracle,https://www.fors.ru/upload/magazine/01/html_texts/blog_Ryn_BD(2).html,"Oracle Big Data Appliance–готовое решения для Big Data. Александр Рындин , Oracle СНГ. ... Oracle NoSQL Database. Из этого рисунка можно видеть, что структурированная информация накапливается (вводится) в обычной СУБД Oracle. Эта часть обычно есть в любой компании. Есть менее структурированная – она имеет вид ключ-значение.",0.9988560676574707,0.72,4,0,False,False,0.86,0.9571992473602294,useful
4,Oracle,Большие данные Oracle,https://gsb.hse.ru/data/2014/06/10/1324119444/Oracle_Big_Data_27_05_14.pdf,"Введение в Big Data. Большие Данные. § Сверхбольшие объемы структурированных и неструктурированных данных, с которыми трудно работать с помощью традиционных средств. § Впервые термин появился 3 сентября 2008 года, Клиффорд Линч, редактор научного журнала Nature, в связи с возможностями для науки накопления научных данных. § Источники больших данных– интернет-документы",0.9980325102806091,0.36,2,0,False,False,0.6799999999999999,0.9026227571964263,useful
5,Oracle,Большие данные Oracle,https://www.osp.ru/netcat_files/userfiles/Big_Data_2017/Pivovarov.pdf,Направления работы корпорации Oracle в области Больших данных. • Оптмизированные программно-аппаратные комплексы для Больших данных на базе Cloudera Hadoop Distribution. • Интеграция данных в Hadoop/NoSQL и традиционных реляционных данных. • Разработка собственной Oracle NoSQL Database и других продуктов.,0.9981862902641296,0.36,2,0,False,False,0.6799999999999999,0.9027304031848906,useful
6,Oracle,Большие данные Oracle,https://www.ospcon.ru/files/uploads/file/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20Big%20Data%202012/%D0%9F%D0%B8%D0%B2%D0%BE%D0%B2%D0%B0%D1%80%D0%BE%D0%B2.pdf,"Общие принципы построения Big Data систем. • Построены из большого количества (до десятков тысяч) узлов, на основе относительно дешевого оборудования. • Каждый узел является сервером и хранения и обработки данных. ... Oracle Data Integrator. Интеграция данных из любых источников Расширяемая функциональность: => Создание Hadoop jobs для трансформаций и загрузки данных в Oracle.",0.30724984407424927,0.36,2,0,False,False,0.6799999999999999,0.41907489085197447,spam
7,Oracle,Большие данные Oracle,https://en.wikipedia.org/wiki/Oracle_Big_Data_Appliance,"The Oracle data appliance consists of hardware and software from Oracle Corporation sold as a computer appliance. It was announced in 2011, and is used for the consolidating and loading unstructured data into Oracle Database software.",0.0192848090082407,0.0,0,0,False,False,0.5,0.16349936630576847,spam
8,Oracle,Большие данные Oracle,https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82:Oracle_Big_Data_Appliance,"Соответствие требованиям по управлению «большими данными». Оптимизация интеграции «больших данных» с корпоративными хранилищами данных. Oracle Big Data Appliance X3-2. 2013: Защита основания распределенной обработки. ... Выпущенная ранее Oracle NoSQL Database представляет собой распределенную СУБД типа «ключ/значение» (key-value), предназначенную для управления большими объемами данных.",0.9962034821510315,0.8999999999999999,5,0,False,False,0.95,0.9823424375057219,useful
9,Oracle,Большие данные Oracle,https://static.merlion.ru/data/digital/downloads/OracleBigData.pdf,"Oracle Big Data. Обзор Технологий Oracle BigData. Роман Рахамимов Технический Консультант Roman.Rakhamimov@oracle.com. ... Что Такое Большие Данные? • Феномен, связанный с появлением технологических возможностей анализировать огромные массивы данных.",0.9994875192642212,0.62,3,0,True,False,0.81,0.9426412634849548,useful
